,Part1_TotalDistinctConflicts,Part2_smallest_last_NumColors,Part2_smallest_last_runtime,Part2_smallest_last_clique,MaxDegreeAtDelete_smallest_last,Part2_largest_first_NumColors,Part2_largest_first_runtime,Part2_largest_first_clique,MaxDegreeAtDelete_largest_first,Part2_random_NumColors,Part2_random_ordering_runtime,Part2_random_ordering_clique,MaxDegreeAtDelete_random
156,209764,345,0.8909986019134521,3,345,346,0.672238826751709,5,877,363,0.7579770088195801,4,805
157,188211,293,0.6818621158599854,6,297,302,0.5730850696563721,4,865,308,0.5206563472747803,3,814
158,169475,252,0.5112495422363281,3,252,252,0.42513513565063477,5,868,275,0.4224555492401123,5,820
159,194467,365,0.7902143001556396,3,365,365,0.685781717300415,3,868,393,0.7125749588012695,5,857
160,181278,285,0.6792798042297363,4,285,289,0.5064160823822021,5,872,301,0.5371034145355225,4,805
161,206101,373,0.9007148742675781,6,373,373,0.7423760890960693,5,872,394,0.750446081161499,5,833
162,203299,321,0.7947502136230469,6,321,325,0.6371068954467773,4,872,348,0.6591284275054932,5,845
163,188505,299,0.6644749641418457,3,299,312,0.5981254577636719,5,860,328,0.5563247203826904,6,770
164,178504,283,0.6212539672851562,6,283,283,0.5128726959228516,6,872,309,0.4909250736236572,3,796
165,183290,320,0.6403598785400391,4,320,326,0.5812771320343018,3,869,332,0.5600414276123047,6,831
166,192037,290,0.7356228828430176,6,290,290,0.5306730270385742,3,871,302,0.5767652988433838,3,832
167,176319,285,0.607297420501709,3,285,285,0.49144744873046875,4,870,299,0.49168848991394043,3,813
168,179751,290,0.6253526210784912,6,290,290,0.49616432189941406,3,864,315,0.49842166900634766,5,813
